user id,gender,age,occupation,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,unknown count,Action count,Adventure count,Animation count,Children's count,Comedy count,Crime count,Documentary count,Drama count,Fantasy count,Film-Noir count,Horror count,Musical count,Mystery count,Romance count,Sci-Fi count,Thriller count,War count,Western count
1,M,24,technician,0,3.0,3.0,5.0,5.0,4.0,0,0,3.0,0,0,0,0,0,0,0,3.5,0,0,0,2,1,1,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0
2,F,53,other,0,0,0,4.0,4.0,4.0,0,0,3.0,0,0,0,0,0,4.0,0,0,2.0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,1,0,0,1,0
3,M,23,writer,0,4.0,4.0,0,0,0,0,0,2.5,0,0,0,0,4.0,3.5,3.3333333333333335,4.0,4.0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,2,3,1,1,0
4,M,24,technician,0,3.5,3.5,0,0,0,4.0,0,5.0,0,0,0,0,0,0,4.5,4.0,4.0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0
5,F,33,other,0,3.6666666666666665,3.6666666666666665,0,0,3.3333333333333335,4.0,0,0,0,0,0,3.0,0,4.0,4.0,3.0,4.0,0,0,3,3,0,0,3,1,0,0,0,0,0,1,0,1,1,1,1,0
6,M,42,executive,0,0,0,4.0,4.0,4.0,0,0,3.3333333333333335,0,0,0,0,0,0,2.0,0,0,0,0,0,0,1,2,2,0,0,3,0,0,0,0,0,0,1,0,0,0
7,M,57,administrator,0,5.0,0,0,0,5.0,4.0,0,5.0,0,0,0,0,0,0,0,4.0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,2,0,0
8,M,36,administrator,0,4.0,5.0,0,0,0,4.0,0,5.0,0,0,0,0,0,5.0,4.0,3.6666666666666665,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,1,2,3,0,0
9,M,29,student,0,5.0,5.0,0,0,4.5,0,0,4.0,0,0,5.0,0,0,5.0,4.5,0,5.0,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,1,2,0,1,0
10,M,53,lawyer,0,0,0,0,0,0,4.5,0,4.5,0,0,0,0,0,0,0,4.666666666666667,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0
11,F,39,other,0,3.0,3.0,0,4.0,4.0,2.5,0,4.5,0,0,0,0,0,0,0,2.0,0,0,0,1,1,0,1,1,2,0,2,0,0,0,0,0,0,0,1,0,0
12,F,28,other,0,5.0,0,0,0,5.0,0,0,5.0,0,0,0,0,0,5.0,0,5.0,5.0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,2,0,1,1,0
13,M,47,educator,0,5.0,0,3.0,3.0,4.0,1.0,0,2.6666666666666665,0,0,0,0,0,0,2.0,1.0,0,0,0,1,0,1,1,2,1,0,3,0,0,0,0,0,0,1,1,0,0
14,M,45,scientist,0,0,0,0,0,2.0,5.0,5.0,5.0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
15,F,49,educator,0,5.0,5.0,0,0,1.0,0,0,4.0,0,0,0,0,0,4.5,5.0,0,5.0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,2,1,0,1,0
16,M,21,entertainment,0,5.0,0,5.0,5.0,5.0,5.0,0,5.0,0,0,0,0,0,0,0,5.0,0,0,0,1,0,1,1,2,2,0,1,0,0,0,0,0,0,0,2,0,0
17,M,30,programmer,0,3.0,3.0,0,0,3.0,4.0,0,4.0,0,0,0,0,0,3.0,4.0,3.5,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,1,1,2,0,0
18,F,35,other,0,3.0,0,0,5.0,4.0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0
19,M,40,librarian,0,3.0,3.0,0,5.0,4.333333333333333,0,0,5.0,0,0,0,0,0,4.0,0,0,4.0,0,0,1,1,0,1,3,0,0,1,0,0,0,0,0,1,0,0,1,0
20,F,42,homemaker,0,4.0,3.5,0,0,0,0,0,4.5,0,0,0,0,0,3.0,3.5,0,4.0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,1,2,0,2,0
21,M,26,writer,0,0,0,5.0,5.0,5.0,2.0,0,4.0,0,0,0,0,0,0,5.0,2.0,0,0,0,0,0,1,1,1,1,0,3,0,0,0,0,0,0,1,1,0,0
22,M,25,writer,0,3.75,3.0,0,0,4.333333333333333,4.0,0,5.0,0,0,4.0,4.0,0,0,0,3.3333333333333335,0,0,0,4,2,0,0,3,1,0,1,0,0,1,1,0,0,0,3,0,0
23,F,30,artist,0,0,0,0,4.0,4.0,0,0,4.0,0,0,0,0,0,4.0,4.0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,1,1,0,0,0
24,F,21,artist,0,0,0,0,5.0,5.0,5.0,0,4.5,0,0,0,0,0,0,4.0,5.0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,1,2,0,0
